model_id,model_name,model_type,model_description,ARO_accession,ARO_id,ARO_name,CARD_short_name,ARO_description,ARO_category
3393,MCR-4.3,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3004695,42747,MCR-4.3,MCR-4.3,A plasmid-mediated MCR-4 variant and colistin resistance gene from clinical Enterobacteriaceae.,"{'41432': {'category_aro_accession': '3004268', 'category_aro_cvterm_id': '41432', 'category_aro_name': 'MCR phosphoethanolamine transferase', 'category_aro_description': 'A group of mobile colistin resistance genes encode the MCR family of phosphoethanolamine transferases, which catalyze the addition of phosphoethanolamine onto lipid A, thus interfering with the binding of colistin to the cell membrane.', 'category_aro_class_name': 'AMR Gene Family'}, '36192': {'category_aro_accession': '3000053', 'category_aro_cvterm_id': '36192', 'category_aro_name': 'peptide antibiotic', 'category_aro_description': 'Peptide antibiotics have a wide range of antibacterial mechanisms, depending on the amino acids that make up the antibiotic, although most act to disrupt the cell membrane in some manner. Subclasses of peptide antibiotics can include additional sidechains of other types, such as lipids in the case of the lipopeptide antibiotics.', 'category_aro_class_name': 'Drug Class'}, '48528': {'category_aro_accession': '3009657', 'category_aro_cvterm_id': '48528', 'category_aro_name': 'nonribosomal peptide antibiotics', 'category_aro_description': 'Nonribosomal peptide antibiotics are peptide natural products synthesized by nonribosomal peptide synthetases (NRPSs), rather than by the ribosome. They often contain non-proteinogenic amino acids and diverse chemical modifications that contribute to their structural and functional diversity.', 'category_aro_class_name': 'Drug Class'}, '35997': {'category_aro_accession': '0001001', 'category_aro_cvterm_id': '35997', 'category_aro_name': 'antibiotic target alteration', 'category_aro_description': 'Mutational alteration or enzymatic modification of antibiotic target which results in antibiotic resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
3405,OXA-402,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3001588,37988,OXA-402,OXA-402,"OXA-402 is a beta-lactamase. Name originally from the historical Lahey list of beta-lactamases, some of which did not include sequence data.","{'46514': {'category_aro_accession': '3007725', 'category_aro_cvterm_id': '46514', 'category_aro_name': 'OXA-51-like beta-lactamase', 'category_aro_description': 'The maximum number of blaOXA belonged to the OXA-51-like subfamily. An earlier study had reported that OXA-51-like enzymes were present exclusively in A. baumannii. Similar to most of the other OXA-type carbapenemases, the OXA-51-like enzymes show weak carbapenemase activity; however, the presence of the insertion sequence ISAba1 upstream of the blaOXA-51-like gene may provide a promoter that allows the overproduction of carbapenemase, and this results in carbapenem resistance.', 'category_aro_class_name': 'AMR Gene Family'}, '35939': {'category_aro_accession': '0000020', 'category_aro_cvterm_id': '35939', 'category_aro_name': 'carbapenem', 'category_aro_description': 'Carbapenems are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Carbapenem antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
3428,OXA-261,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3001717,38117,OXA-261,OXA-261,OXA-261 is a beta-lactamase found in Acinetobacter spp.,"{'46514': {'category_aro_accession': '3007725', 'category_aro_cvterm_id': '46514', 'category_aro_name': 'OXA-51-like beta-lactamase', 'category_aro_description': 'The maximum number of blaOXA belonged to the OXA-51-like subfamily. An earlier study had reported that OXA-51-like enzymes were present exclusively in A. baumannii. Similar to most of the other OXA-type carbapenemases, the OXA-51-like enzymes show weak carbapenemase activity; however, the presence of the insertion sequence ISAba1 upstream of the blaOXA-51-like gene may provide a promoter that allows the overproduction of carbapenemase, and this results in carbapenem resistance.', 'category_aro_class_name': 'AMR Gene Family'}, '35939': {'category_aro_accession': '0000020', 'category_aro_cvterm_id': '35939', 'category_aro_name': 'carbapenem', 'category_aro_description': 'Carbapenems are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Carbapenem antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
3458,OXA-295,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3001750,38150,OXA-295,OXA-295,OXA-295 is a beta-lactamase found in Acinetobacter spp.,"{'46504': {'category_aro_accession': '3007715', 'category_aro_cvterm_id': '46504', 'category_aro_name': 'OXA-294-like beta-lactamase', 'category_aro_description': 'A subfamily of extended-spectrum oxacillin-hydrolyzing class D OXA beta-lactamases derived from OXA-294.', 'category_aro_class_name': 'AMR Gene Family'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
3487,OXA-401,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3001587,37987,OXA-401,OXA-401,"OXA-401 is a beta-lactamase. Name originally from the historical Lahey list of beta-lactamases, some of which did not include sequence data.","{'46514': {'category_aro_accession': '3007725', 'category_aro_cvterm_id': '46514', 'category_aro_name': 'OXA-51-like beta-lactamase', 'category_aro_description': 'The maximum number of blaOXA belonged to the OXA-51-like subfamily. An earlier study had reported that OXA-51-like enzymes were present exclusively in A. baumannii. Similar to most of the other OXA-type carbapenemases, the OXA-51-like enzymes show weak carbapenemase activity; however, the presence of the insertion sequence ISAba1 upstream of the blaOXA-51-like gene may provide a promoter that allows the overproduction of carbapenemase, and this results in carbapenem resistance.', 'category_aro_class_name': 'AMR Gene Family'}, '35939': {'category_aro_accession': '0000020', 'category_aro_cvterm_id': '35939', 'category_aro_name': 'carbapenem', 'category_aro_description': 'Carbapenems are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Carbapenem antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
4227,ADC-157,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3006331,44793,ADC-157,ADC-157,ADC-157 is a ADC beta-lactamase.,"{'43920': {'category_aro_accession': '3005460', 'category_aro_cvterm_id': '43920', 'category_aro_name': 'ADC beta-lactamases pending classification for carbapenemase activity', 'category_aro_description': 'ADC beta-lactamases with undetermined carbapenemase activity.', 'category_aro_class_name': 'AMR Gene Family'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
3402,tet(X4),protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3004720,42775,tet(X4),tet(X4),"A tetracyline resistance gene located on an approximately 180-kb plasmid, designated p47EC. It inactivates all tetracyclines, including tigecycline, eravacycline, and omadacycline.Adjacent to insertion sequence ISVsa3 on the conjugative plasmid.","{'36176': {'category_aro_accession': '3000036', 'category_aro_cvterm_id': '36176', 'category_aro_name': 'tetracycline inactivation enzyme', 'category_aro_description': 'Enzymes or other gene products which hydroxylate tetracycline and other tetracycline derivatives. Hydroxylation inactivates tetracycline-like antibiotics, thus conferring resistance to these compounds.', 'category_aro_class_name': 'AMR Gene Family'}, '35960': {'category_aro_accession': '0000042', 'category_aro_cvterm_id': '35960', 'category_aro_name': 'glycylcycline', 'category_aro_description': 'Glycylcyclines are a new class of antibiotics derived from tetracycline. These tetracycline analogues are specifically designed to overcome two common mechanisms of tetracycline resistance. Presently, there is only one glycylcycline antibiotic for clinical use: tigecycline. It works by inhibiting action of the prokaryotic 30S ribosome, preventing the binding of aminoacyl-tRNA.', 'category_aro_class_name': 'Drug Class'}, '36189': {'category_aro_accession': '3000050', 'category_aro_cvterm_id': '36189', 'category_aro_name': 'tetracycline antibiotic', 'category_aro_description': 'These antibiotics are derived from tetracycline, a polyketide antibiotic that inhibits the 30S subunit of bacterial ribosomes.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
3514,OXA-444,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3003600,40210,OXA-444,OXA-444,"OXA-444 is a beta-lactamase. Name originally from the historical Lahey list of beta-lactamases, some of which did not include sequence data.","{'46518': {'category_aro_accession': '3007729', 'category_aro_cvterm_id': '46518', 'category_aro_name': 'OXA-60-like beta-lactamase', 'category_aro_description': 'A subfamily of carbapenem-hydrolyzing class D OXA beta-lactamases derived from OXA-60.', 'category_aro_class_name': 'AMR Gene Family'}, '35939': {'category_aro_accession': '0000020', 'category_aro_cvterm_id': '35939', 'category_aro_name': 'carbapenem', 'category_aro_description': 'Carbapenems are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Carbapenem antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
3544,OXA-483,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3003640,40250,OXA-483,OXA-483,"OXA-483 is a beta-lactamase. Name originally from the historical Lahey list of beta-lactamases, some of which did not include sequence data.","{'46499': {'category_aro_accession': '3007710', 'category_aro_cvterm_id': '46499', 'category_aro_name': 'OXA-23-like beta-lactamase', 'category_aro_description': 'A subfamily of carbapenem-hydrolyzing class D OXA beta-lactamases, specifically imipenem, derived from OXA-23, first identified in Acinetobacter baumannii.', 'category_aro_class_name': 'AMR Gene Family'}, '35939': {'category_aro_accession': '0000020', 'category_aro_cvterm_id': '35939', 'category_aro_name': 'carbapenem', 'category_aro_description': 'Carbapenems are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Carbapenem antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
3588,FONA-4,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3004791,42909,FONA-4,FONA-4,FONA-4 is a class A beta-lactamase gene found in Serratia fonticola.,"{'42905': {'category_aro_accession': '3004787', 'category_aro_cvterm_id': '42905', 'category_aro_name': 'FONA beta-lactamase', 'category_aro_description': 'FONA is a class A beta-lactamase gene family found in Serratia fonticola.', 'category_aro_class_name': 'AMR Gene Family'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
3594,FRI-3,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3004799,42918,FRI-3,FRI-3,FRI-3 is a carbapenem-hydrolyzing Class A beta-lactamase gene found in Enterobacter cloacae.,"{'42915': {'category_aro_accession': '3004796', 'category_aro_cvterm_id': '42915', 'category_aro_name': 'FRI beta-lactamase', 'category_aro_description': 'FRI is a carbapenem-Hydrolyzing Class A beta-Lactamase from Enterobacter cloacae.', 'category_aro_class_name': 'AMR Gene Family'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
3595,FTU-1,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3004801,42920,FTU-1,FTU-1,FTU-1 is a class A beta-lactamase gene found in Francisella tularensis. It causes Tularemia.,"{'42919': {'category_aro_accession': '3004800', 'category_aro_cvterm_id': '42919', 'category_aro_name': 'FTU beta-lactamase', 'category_aro_description': 'FTU is a class A beta-lactamase gene family found in Francisella tularensis.', 'category_aro_class_name': 'AMR Gene Family'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
3596,GOB-10,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3004802,42922,GOB-10,GOB-10,GOB-10 is a class B beta-lactamase gene found in Chryseobacterium meningosepticum.,"{'41376': {'category_aro_accession': '3004212', 'category_aro_cvterm_id': '41376', 'category_aro_name': 'GOB beta-lactamase', 'category_aro_description': 'The GOB family of beta-lactamases have been discovered in the Elizabethkingia meningoseptica and are classified as subclass B3 beta-lactamase. They confer resistance to cephalosporins, penicillins, and carbapenems.', 'category_aro_class_name': 'AMR Gene Family'}, '35939': {'category_aro_accession': '0000020', 'category_aro_cvterm_id': '35939', 'category_aro_name': 'carbapenem', 'category_aro_description': 'Carbapenems are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Carbapenem antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
